2021-10-21 16:48:54.537 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:56.328 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:56.329 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:56.330 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:48:56.490 [main-110] INFO  com.framework.basedriver.BaseDriver.startBrowser - 浏览器：chrome 成功启动！
2021-10-21 16:48:56.779 [main-50] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$6 - testCase_searchMethod,[{search_name.new=com.wechat.pageobject.CeshirenPOCodeSearchPage}, {search_name.get_first_title=[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]}, {asserts=[{actual=getText}, {matcher=contains}, {expect=内推 BAT}, {reason=搜索成功！}]}]
2021-10-21 16:48:56.780 [main-54] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$6 - $$$$[{actual=getText}, {matcher=contains}, {expect=内推 BAT}, {reason=搜索成功！}]
2021-10-21 16:48:59.916 [main-146] INFO  com.framework.basedriver.BaseDriver.closeBrowser - chrome浏览器已成功关闭！
2021-10-21 16:50:29.138 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:29.143 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:29.143 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:29.144 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:29.145 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:29.146 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:29.146 [main-42] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserName=chrome
2021-10-21 16:50:29.147 [main-43] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - terminal=pc
2021-10-21 16:50:29.147 [main-44] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - deviceName=desktop
2021-10-21 16:50:29.148 [main-45] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remotePort=4444
2021-10-21 16:50:29.148 [main-46] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remoteIP=
2021-10-21 16:50:29.148 [main-47] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserVersion=
2021-10-21 16:50:29.154 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:29.154 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:30.978 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:30.979 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:30.979 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 16:50:31.145 [main-110] INFO  com.framework.basedriver.BaseDriver.startBrowser - 浏览器：chrome 成功启动！
2021-10-21 16:50:31.413 [main-50] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$6 - testCase_searchMethod,[{search_name.new=com.wechat.pageobject.CeshirenPOCodeSearchPage}, {search_name.get_first_title=[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]}, {asserts=[{actual=getText}, {matcher=contains}, {expect=内推 BAT}, {reason=搜索成功！}]}]
2021-10-21 16:50:31.415 [main-76] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - $$$$com.wechat.pageobject.CeshirenPOCodeSearchPage
2021-10-21 16:50:31.418 [main-76] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - $$$$[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]
2021-10-21 16:50:34.546 [main-146] INFO  com.framework.basedriver.BaseDriver.closeBrowser - chrome浏览器已成功关闭！
2021-10-21 17:07:04.060 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:04.065 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:04.066 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:04.067 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:04.067 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:04.068 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:04.069 [main-42] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserName=chrome
2021-10-21 17:07:04.069 [main-43] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - terminal=pc
2021-10-21 17:07:04.069 [main-44] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - deviceName=desktop
2021-10-21 17:07:04.070 [main-45] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remotePort=4444
2021-10-21 17:07:04.070 [main-46] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remoteIP=
2021-10-21 17:07:04.070 [main-47] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserVersion=
2021-10-21 17:07:04.075 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:04.076 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:05.680 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:05.682 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:05.683 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:07:05.832 [main-110] INFO  com.framework.basedriver.BaseDriver.startBrowser - 浏览器：chrome 成功启动！
2021-10-21 17:07:06.101 [main-51] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$6 - testCase_searchMethod,[{search_name.new=com.wechat.pageobject.CeshirenPOCodeSearchPage}, {search_name.get_first_title=[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]}, {asserts=[{actual=getText}, {matcher=contains}, {expect=内推 BAT}, {reason=搜索成功！}]}]
2021-10-21 17:07:06.103 [main-77] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - $$$$com.wechat.pageobject.CeshirenPOCodeSearchPage
2021-10-21 17:07:06.105 [main-77] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - $$$$[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]
2021-10-21 17:07:06.106 [main-73] INFO  com.framework.basepo.POBasePage.runPOMethod - methods大小=null
2021-10-21 17:07:06.106 [main-74] INFO  com.framework.basepo.POBasePage.runPOMethod - ClassName=get_first_title
2021-10-21 17:07:09.219 [main-146] INFO  com.framework.basedriver.BaseDriver.closeBrowser - chrome浏览器已成功关闭！
2021-10-21 17:10:43.376 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:43.382 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:43.383 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:43.383 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:43.384 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:43.384 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:43.385 [main-42] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserName=chrome
2021-10-21 17:10:43.385 [main-43] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - terminal=pc
2021-10-21 17:10:43.386 [main-44] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - deviceName=desktop
2021-10-21 17:10:43.386 [main-45] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remotePort=4444
2021-10-21 17:10:43.386 [main-46] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remoteIP=
2021-10-21 17:10:43.387 [main-47] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserVersion=
2021-10-21 17:10:43.390 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:43.391 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:44.986 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:44.986 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:44.987 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:10:45.134 [main-110] INFO  com.framework.basedriver.BaseDriver.startBrowser - 浏览器：chrome 成功启动！
2021-10-21 17:10:45.397 [main-51] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$6 - testCase_searchMethod,[{search_name.new=com.wechat.pageobject.CeshirenPOCodeSearchPage}, {search_name.get_first_title=[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]}, {asserts=[{actual=getText}, {matcher=contains}, {expect=内推 BAT}, {reason=搜索成功！}]}]
2021-10-21 17:10:45.399 [main-77] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - $$$$com.wechat.pageobject.CeshirenPOCodeSearchPage
2021-10-21 17:10:45.402 [main-77] INFO  com.framework.basetest.BaseTestCaseExcutor.lambda$null$4 - $$$$[{get=https://ceshiren.com}, {find=[id, search-button]}, {click=null}, {find=[id, search-term]}, {sendkeys=内推 BAT}, {find=[css, .topic-title]}, {getText=[css, .topic-title]}]
2021-10-21 17:10:45.402 [main-73] INFO  com.framework.basepo.POBasePage.runPOMethod - methods大小=null
2021-10-21 17:10:45.403 [main-74] INFO  com.framework.basepo.POBasePage.runPOMethod - ClassName=get_first_title
2021-10-21 17:10:48.539 [main-146] INFO  com.framework.basedriver.BaseDriver.closeBrowser - chrome浏览器已成功关闭！
2021-10-21 17:13:11.373 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:11.377 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:11.378 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:11.378 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:11.379 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:11.380 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:11.380 [main-42] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserName=chrome
2021-10-21 17:13:11.381 [main-43] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - terminal=pc
2021-10-21 17:13:11.381 [main-44] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - deviceName=desktop
2021-10-21 17:13:11.381 [main-45] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remotePort=4444
2021-10-21 17:13:11.382 [main-46] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - remoteIP=
2021-10-21 17:13:11.382 [main-47] INFO  com.framework.basetest.BaseTestCaseInit.<clinit> - browserVersion=
2021-10-21 17:13:11.386 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:11.386 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
2021-10-21 17:13:12.996 [main-37] INFO  com.framework.util.PropertiesReader.readProperties - 读取项目配置文件
